model,method,scaler,import,rmse,r2_score,explained_variance,AUC,accuracy,recall,precision,f1,training_time
Random Forest Classifier,RandomForestClassifier(),No scaling required,from sklearn.ensemble import RandomForestClassifier,,,,0.7211174242424244,0.7860824742268041,0.7860824742268041,0.7555924954656421,0.754882804418181,0.23021626472473145
Gradient Boosting Classifier,GradientBoostingClassifier(),No scaling required,from sklearn.ensemble import GradientBoostingClassifier,,,,0.7139015151515151,0.788659793814433,0.788659793814433,0.7649306198599366,0.7690253524791142,1.033219337463379
Logistic Regression,LogisticRegression(),StandardScaler,from sklearn.linear_model import LogisticRegression,,,,0.7240151515151514,0.7860824742268041,0.7860824742268041,0.756350786486402,0.7568031537277567,0.8918373584747314
Support Vector Machine,SVC(),StandardScaler,from sklearn.svm import SVC,,,,,0.7809278350515464,0.7809278350515464,0.7426813754800496,0.7246011913177053,0.04973244667053223
K-Nearest Neighbors,KNeighborsClassifier(),StandardScaler,from sklearn.neighbors import KNeighborsClassifier,,,,0.6186363636363637,0.7628865979381443,0.7628865979381443,0.7288342585249803,0.7373019207359769,0.009426116943359375
Decision Tree Classifier,DecisionTreeClassifier(),No scaling required,from sklearn.tree import DecisionTreeClassifier,,,,0.6049242424242424,0.6932989690721649,0.6932989690721649,0.7185517177554107,0.7040840425407879,0.048021554946899414
XGBoost Classifier,XGBClassifier(),No scaling required,from xgboost import XGBClassifier,,,,0.6915909090909091,0.7551546391752577,0.7551546391752577,0.7235627379957277,0.7332854764329823,0.1890125274658203
