model,method,scaler,import,rmse,r2_score,explained_variance,AUC,accuracy,recall,precision,f1,training_time
RandomForestRegressor,ensemble.RandomForestRegressor,StandardScaler,from sklearn.ensemble import RandomForestRegressor,634.182380518191,0.9739864385411166,0.974358353149939,,,,,,2.8741660118103027
GradientBoostingRegressor,ensemble.GradientBoostingRegressor,StandardScaler,from sklearn.ensemble import GradientBoostingRegressor,757.7740872789469,0.9628592241988658,0.9630052104026405,,,,,,4.932165622711182
XGBRegressor,xgboost.XGBRegressor,StandardScaler,from xgboost import XGBRegressor,1580.3968048221984,0.8384511924119578,0.8658560253752773,,,,,,0.14934706687927246
LGBMRegressor,lightgbm.LGBMRegressor,MinMaxScaler,from lightgbm import LGBMRegressor,748.4061038642186,0.9637718537256116,0.9701192764210735,,,,,,0.11620426177978516
SVR,svm.SVR,StandardScaler,from sklearn.svm import SVR,2927.3682019718262,0.4457238738813506,0.5172518602578005,,,,,,50.3886194229126
LinearSVR,svm.LinearSVR,StandardScaler,from sklearn.svm import LinearSVR,1427.9499926663277,0.8681143731282172,0.8763492093867901,,,,,,0.046946048736572266
KNeighborsRegressor,neighbors.KNeighborsRegressor,StandardScaler,from sklearn.neighbors import KNeighborsRegressor,717.4316115861932,0.9667085670850801,0.9667980912949694,,,,,,0.016427278518676758
