model,method,scaler,import,rmse,r2_score,explained_variance,AUC,accuracy,recall,precision,f1,training_time
Random Forest Classifier,RandomForestClassifier,Not required,from sklearn.ensemble import RandomForestClassifier,,,,,0.8954720616570327,0.8954720616570327,0.8959301687659911,0.8954259105923639,0.273423433303833
Logistic Regression,LogisticRegression,StandardScaler,from sklearn.linear_model import LogisticRegression,,,,,0.8636801541425819,0.8636801541425819,0.8628719953839753,0.8630914522226917,1.1610190868377686
Support Vector Machine,SVC,StandardScaler,from sklearn.svm import SVC,,,,,0.858140655105973,0.858140655105973,0.8583866371335145,0.8582130357053797,3.0996854305267334
XGBoost Classifier,XGBClassifier,Not required,from xgboost import XGBClassifier,,,,,,,,,
K-Nearest Neighbors,KNeighborsClassifier,StandardScaler,from sklearn.neighbors import KNeighborsClassifier,,,,,0.7198940269749519,0.7198940269749519,0.715307490197812,0.715672361541193,0.008979558944702148
Decision Tree Classifier,DecisionTreeClassifier,Not required,from sklearn.tree import DecisionTreeClassifier,,,,,0.8439306358381503,0.8439306358381503,0.8450899578283239,0.844370946525667,0.16778254508972168
Gradient Boosting Classifier,GradientBoostingClassifier,Not required,from sklearn.ensemble import GradientBoostingClassifier,,,,,0.9024566473988439,0.9024566473988439,0.9026737772717345,0.9025254160981714,21.724315881729126
